,0,1,2,3,4
0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
1,0x040600,000001000000011000000000,"18 | 10,9 | noneMajor Service Class CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bits 2,3 Set to 0: Uncategorized, default","Uncategorized, defaultN465",Yes00:12:F35 – connectBlue AB
2,0x040640,000001000000011001000000,"18 | 10,9 | 6Major Service Class CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 6: Scanner",ScannerVoyagerBT Scanner,Yes00:0C:A7 – Metro (Suzhou) Techno
3,0x040680,000001000000011010000000,"18 | 10,9 | 7Major Service Class CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 7: Printer",PrinterBluetooth Combo Printer Adapter O-Neil Printer Datamax-O’Neil Apex 3 B/W Direct thermal printer(APEX3) Intermec PB42 Sony Ericsson XPERIA – MP01753 Woosim Bluetooth Printer with Mobile Technology Sony Color Digital Printer UP-DX100 PW50 Mobile Workboard Printer Datamax O’Neil Barcode Printer Intermec PW50 Mobile Workboard Printer Extech Printer Mobile Print PENTAX PocketJet Zebra Printer (XXRC10) MP03740 Printer O’Neil Printer (MP41007) Zebra RW 420 Mobile Printer (XXRC09) Zebra MZ 320 BT printer (XXXX09),"Yes00:02:72 – CC&C Technologies 00:17:AC – O’Neil Product Development Inc. 00:12:F3 – connectBlue AB MITSUMI ELECTRIC CO., LTD. 00:17:AC – O’Neil Product Development Inc. 00:15:0E – OPENBRAIN TECHNOLOGIES CO., LTD. 00:A0:96 – MITSUMI ELECTRIC CO., LTD. 00:06:66 – Roving Networks 00:17:AC – O’Neil Product Development Inc. 00:06:66 – Roving Networks 00:12:F3 – connectBlue AB 00:03:7A – Taiyo Yuden Co., Ltd. 10:00:E8 – NATIONAL SEMICONDUCTOR 00:03:7A – Taiyo Yuden Co., Ltd. 00:17:AC – O’Neil Product Development Inc. 00:17:AC – O’Neil Product Development Inc. 00:22:58 – Taiyo Yuden Co., Ltd. 00:22:58 – Taiyo Yuden Co., Ltd."
4,0x080618,000010000000011000011000,"19 | 10,9 | 4,3Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 3: Unknown Imaging CoD Bit 4: Display",DisplayZebra MZ320 Printer,"Yes00:22:58 – Taiyo Yuden Co., Ltd."
5,0x140680,000101000000011010000000,"20,18 | 10,9 | 7Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 7: Printer",PrinterHP DeskJet 995c O’Neil OC3 Portable Printer Unknown Photosmart C5500 series,"Yes00:05:4E – Philips Components 00:03:7A – Taiyo Yuden Co., Ltd. 78:E7:D1 – Hewlett-Packard Company 00:1A:0E – Cheng Uei Precision Industry Co.,Ltd"
