,0,1,2,3,4
0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
1,0x000204,000000000000001000000100,"none | 9 | 2Major Service Class none Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung SGH-T259 Unknown Samsung,"Yes38:16:D1 – Samsung Electronics Co.,Ltd 04:FE:31 – Samsung Electronics Co.,Ltd"
2,0x000208,000000000000001000001000,"none | 9 | 3Major Service Class None Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 3: Cordless",CordlessBluetooth Car Kit,"Yes00:1C:12 – Motorola Mobility, Inc."
3,0x01020c,000000010000001000001100,"16 | 9 | 3,2Major Service Class CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2,3: Smart Phone",Smart PhoneiPhone,Yes54:26:96 – Apple
4,0x080208,000010000000001000001000,"19 | 9 | 3Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 3: Cordless",CordlessKyocera KWC-M2000,Yes00:1F:BD – Kyocera Wireless Corp.
5,0x100204,000100000000001000000100,"20 | 9 | 2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellulariPod Sanyo Mirro Kyocera Juno SCP2700 Unknown Kyocera Cell Phone (Manda) LG LG600G Kyocera S2100 (KCI-S2100),"Yes00:26:4A – Apple, Inc. 00:22:94 – Kyocera Corporation 00:22:94 – Kyocera Corporation 00:22:94 – Kyocera Corporation 00:1F:E3 – LG Electronics 00:22:94 – Kyocera Corporation"
6,0x100208,000100000000001000001000,"20 | 9 | 3Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 3: Cordless",CordlessUnknown Kyocera Cordless Phone Kyocera Wireless KWC-S1310 Cricket Kyocera Domino S1310 Kyocera KWC Cell Phone,Yes00:1F:BD – Kyocera Wireless Corp. 00:1F:BD – Kyocera Wireless Corp. 00:1F:BD – Kyocera Wireless Corp. 00:1F:BD – Kyocera Wireless Corp.
7,0x180204,000110000000001000000100,"20,19 | 9 | 2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularSamsung Blast Sanyo Innuendo Kyocera Rio E3100 LG900G SANYO Incognito Samsung SGH-T528G Motorola H700 Bluetooth Headset Kyocera Generic Rio E3100 (KWC-E3100),"Yes00:21:D1 – Samsung Electronics Co.,Ltd 00:22:94 – Kyocera Corporation 00:1F:BD – Kyocera Wireless Corp. 5C:17:D3 Lge 00:22:94 – Kyocera Corporation 18:E2:C2 – Samsung Electronics 00:22:94 – Kyocera Corporation 00:1F:BD – Kyocera Wireless Corp."
8,0x200204,001000000000001000000100,"21 | 9 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularUnknown,Yes00:12:D1 – Texas Instruments Inc
9,0x300204,001100000000001000000100,"23,21,20 | 9 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularNokiaE61i,Yes00:17:E3 – Texas Instruments
10,0x400204,010000000000001000000100,"22 | 9 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 2: Cellular",CellularMotorola h700 Samsung SPH-W2700 Cisco Unified IP Phone 8945 (CP-8945) Cricket A200,"Yes00:07:BA – UTStarcom, Inc. (was: Xebeo Communications) 00:12:47 – Samsung Electronics Co., Ltd. 70:81:05 – CISCO SYSTEMS, INC. 00:1F:82 – Cal-Comp Electronics & Communications Co., Ltd"
11,0x400210,010000000000001000010000,"22 | 9 | 4Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) Major Device Class CoD Bits 9: Phone (cellular, cordless, payphone, modem, …) Minor Device Class CoD Bits 4: Wired modem or voice gateway",Wired modem or voice gatewayUnknown Voice Gateway,"Yes00:07:88 – Clipcomm, Inc."
