,0,1,2,3,4
0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
11,0x240408,001001000000010000001000,"21,18 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bit 3: Hands-free Device",Hands-free DeviceDension GWF Unknown Ford Audio VW UHV Parrot Zik Headphones Clarion NX500 CARBT-1234 Chevy Equinox Dual XML8150 Media Receiver Unknown Bluetooth Headset (BtCarKit) BlueStream By iSimple Solutions (PhoneKit) Wise & Blue CO LTD Bluetooth Car Kit (CarKit) Clarion NZ500 Clarion VX401 GMC Terrain,"Yes01:36:05 – Unknown 00:26:72 – AAMP of America 00:23:3D – Novero holding B.V. 00:23:3D – Novero holding B.V. 90:03:B7 – Parrot 00:17:53 – nFore Technology Inc. DC:DE:CA – Akyllor E0:EE:1B – Panasonic Automotive Systems Company of America 00:00:00 – Officially Xerox, but 0:0:0:0:0:0 is more common 00:1D:86 – Shinwa Industries(China) Ltd. 00:26:72 – AAMP of America 00:1C:F5 – Wiseblue Technology Limited 00:17:53 – nFore Technology Inc. 00:17:53 – nFore Technology Inc. E0:EE:1B – Panasonic Automotive Systems Company of America"
12,0x240414,110100100000000100010000,"21,18 | 10 | 4,2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2,4: Loudspeaker",LoudspeakerHDMX JAM EWA Speaker V2 Mini Speaker BoomBot2 Bluetooth Portable Speaker,Yes46:8F:E8 – Unknown 00:1F:81 – Accel Semiconductor Corp 00:18:E4 – YIGUANG
13,0x280408,001010000000010000001000,"21,19 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceTomTom GO 930 nuvi 765 Suzuki Trip TomTom GO 630 nuvi 775 MOTOACTV Suzuki Trip TomTom GO 730 nuvi 765T TomTom GO 720 Garmin zumo 665 TomTom GO 920 TomTom GO 730,Yes00:13:6C – TomTom 00:05:4F – Private 00:05:4F – Private 00:21:3E – Tomtom 00:05:4F – Private 00:18:30 – Texas Instruments 00:05:4F – Private 00:21:3E – Tomtom 00:05:4F – Private 00:13:6C – TomTom 00:05:4F – Private 00:13:6C – TomTom 00:21:3E – TomTom
14,0x2c0404,001011000000010000000100,"21,19,18 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceKENWOOD BT CD/R-5T1,Yes00:08:E0 – ATO Technology Ltd.
15,0x300408,001100000000010000001000,"21,20 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceStreetPilot c550 StreetPilot c5 BMW 99088 Audi MMI BMW VW DEH-7300BT Unknown Car Bluetooth System nuvi 7 Wedge Nuvi Parrot CK3100 Parrot 3200LS AVH-P3200BT Jaguar Pioneer DEH-P6200BT Panasonic GP50 Kenwood DDX616 Pioneer AppRadio SPH-DA01 Pioneer AVH-P5200BT ALPINE KCE-250BT Kenwood DNX6180 Bluetooth Microphone ALPINE CDE-103BT Kenwood DNX6980 PIONEER HDD NAVI Pioneer AVH-P6300BT KENWOOD BT USB/R-3P1 Pioneer AVH-P3300BT Kenwood DNX6160 StreetPilot 2820 ALPINE NAVIGATION RECEIVER Red Rocket Smart Drive Garmin Nuvi 780 Kenwood DNX6960 Sony Nav-U NV-U83T Portable car navigator Advent ADVUV630 Navigation Head Unit,"Yes00:05:4F – Private 00:05:4F – Private 00:0E:9F – TEMIC SDS GmbH 00:0E:9F – TEMIC SDS GmbH 00:1A:DB – Motorola Mobility, Inc. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:1E:AE – Continental Automotive Systems 00:05:4F – Private 00:05:4F – Private 00:12:1C PARROT S.A. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:1E:AE – Continental Automotive Systems 00:26:7E – Parrot SA 00:80:45 – MATSUSHITA ELECTRIC IND. CO 00:26:7E – Parrot SA 00:17:53 – nFore Technology Inc. 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:16:FE – Alps Electric Co., Ltd 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:05:4F – Private E8:E1:FD – Unknown 00:05:4F – Private 00:13:1E – Peiker acustic GmbH & Co. KG 00:05:4F – Private 00:26:7E – Parrot SA 00:13:E0 – Murata Manufacturing Co., Ltd. 00:26:7E – Parrot SA"
16,0x340404,001101000000010000000100,"21,20,18 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceKenwood KCA-BT300 BT35 Motorola T325 – Bluetooth Portable Car Speaker,"Yes00:26:7E – Parrot SA 00:1D:DF – Sunitec Enterprise Co., Ltd. 00:1F:82 – Cal-Comp Electronics & Communications Co., Ltd"
17,0x340408,001101000000010000001000,"21,20,18 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceKenwood BT Adapter KCA-BT200 Hyundai Sonata VW Jetta Sportwagon TDI 2010 VW Passat ALPINE KCE-400BT Parrot MKi9200 Unknown KENWOOD BT CD/R-3P1 KENWOOD BT CD/R-2P2 BLUEFUSION Pioneer BT unit2 Clarion NX501 Alpine CD Receiver Pioneer DEH-P8400BH PIONEER NAVI Pioneer DEH-65BT CD Receiver Pioneer DEH-X6500BT Pioneer DEH-64BT Kenwood DNX6140 Pioneer DEH-6400BT KENWOOD BT CD/R-6P1 Kenwood DNX7140 Pioneer AVH-X3500BHS Sony Automotive Sony Automotive AVH-P2400BT Pioneer DEH-80PRS Pioneer DEH-X65BT Kenwood DNX8120 Sorento Sony Xplod KIA MOTORS Pioneer FH-X700BT CD Receiver ALPINE NAVI Pioneer AVH-P3400BH Kenwood DNX9980HD Pioneer DEH-P9400BH Kenwood DNX9990HD Pioneer FH-X700BT Clarion VZ709 Kenwood DNX6990HD Kia Sportage Bluetooth Kenwood DDX814 2012 Fiat Blue&Me ALPINE iXA-W407 Digital Media Receiver Pioneer CD Receiver DEH-5400BT Clarion NX501 Kenwood DNX6190HD KGL Universal Bluetooth Car DVD (DULONG) Kenwood DNX7190HD Clarion MAX685BT Porsche Tooki Bluetooth Kenwood DNX9140 JVC CD/Bluetooth Receiver Model KD-BT1 Pioneer DEH-4500BT Kia Motors,"Yes00:12:1C – PARROT S.A. 00:0B:24 – Airlogic 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:07:04 – ALPS Electric Co,. Ltd. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:13:04 – Flaircomm Technologies Co. LTD 00:19:C1 – Alps Electric Co., Ltd 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 90:03:B7 – Parrot 90:03:B7 – Parrot 90:03:B7 – Parrot 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:12:1C – PARROT S.A. 90:03:B7 – Parrot 78:84:3C – Sony Corporation 54:42:49 – Sony Corporation 00:26:7E – Parrot SA 00:26:7E – Parrot SA 90:03:B7 – Parrot 00:12:1C – PARROT S.A. 00:1E:B2 – LG innotek 00:1A:80 – Sony Corporation 00:1E:B2 – LG innotek 90:03:B7 – Parrot 04:98:F3 – ALPS Electric Co,. Ltd. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 90:03:B7 – Parrot 00:26:7E – Parrot S 00:26:7E – Parrot SA 90:03:B7 – Parrot 00:24:33 – Alps Electric Co., Ltd 00:26:7E – Parrot SA 00:1E:B2 – LG innotek 00:12:1C – PARROT S.A. 00:14:09 – MAGNETI MARELLI S.E. S.p.A. 00:12:1C – PARROT S.A. 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:26:7E – Parrot SA 00:13:04 – Flaircomm Technologies Co. LTD 90:03:B7 – PARROT 00:1E:3D – Alps Electric Co., Ltd 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 90:03:B7 – PARROT 00:1E:B2 – LG innotek"
18,0x380408,001110000000010000001000,"21,20,19 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DevicePulscom Bluetooth Dongle :Class 2 (CSR – bc4),"Yes00:21:E8 – Murata Manufacturing Co., Ltd."
19,0x6a041c,011010100000010000011100,"22,21,19,17 | 10 | 4,3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …)Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2,3,4: Portable Audio",Portable AudioiPad2 iPad2 iPad iPod touch iPod touch,"Yes70:DE:E2 – Apple, Inc. A4:67:06 – Apple, Inc. 40:30:04 – Apple, Inc. 00:88:65 – Apple 8C:2D:AA – Apple Inc"
20,0x700404,011100000000010000000100,"22,21,20 | 10 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown AV Headset BlueAnt Supertooth 3 (ST3),"Yes00:16:74 – EuroCB (Phils.), Inc. 00:16:74 – EuroCB (Phils.), Inc."
21,0x720408,011100100000010000001000,"13 | none | 7,6,5,4,3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceMagellan GPS,Yes00:40:D0 – MITAC INTERNATIONAL CORP.
22,0x722404,011100100010010000000100,"22,21,20,17,13 | 10 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceMagellan GPS,Yes00:40:D0 – Mitac International Corp.
23,0x740408,011101000000010000001000,"22,21,20,18 | 10 | 3Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceEonon Car DVD Player,Yes00:13:04 – Flaircomm Technologies Co. LTD
24,0x760408,011101100000010000001000,"13 | none | 7,6,5,4,3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DevicePorsche PCM (Porsche Communication Management System),Yes00:0E:9F – TEMIC SDS GmbH
25,0xb16404,10110001011 0010000000100,"23,21,20,16,14,13 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 16: Positioning (Location identification) CoD Bit 14: (reserved) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown Wearable Bluetooth Headset,Yes00:08:E0 – ATO Technology Ltd.
26,0xb50404,101101010000010000000100,"23,21,20,18,16 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown,Yes00:08:E0 – ATO Technology Ltd.
27,0xb56404,101101010110010000000100,"23,21,20,18,16,14,13 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 16: Positioning (Location identification) CoD Bit 14: (reserved) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bit 2: Wearable Headset Device",Wearable Headset DeviceBluetooth Headset,Yes00:08:E0 – ATO Technology Ltd.
28,0xf40404,111101000000010000000100,"23,22,21,20,18 | 10 | 3Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceJVC Unit,"Yes00:10:60 – BILLIONTON SYSTEMS, INC."
29,0xf62404,111101100010010000000100,"23,22,21,20,18,17,13 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown,Yes00:08:E0 – ATO Technology Ltd.
